Lineage,Superorder,Orders_Scientific_Name_50MYA,Family.Scientific.Name,Scientific.Name,English.Name,NCBI.taxon.ID,Status,Assembly.ID,Sex.chromosomes.main.haploptype,sex,Accession_num_main_haplotype,RefSeq.annotation.main.haplotype,Accession_nums_other_high_quality_haplotypes,Assembly.tech,Assembly.Size,Num_of_contigs,CITES,Main.project,Second.project,Expected_sex_chromosomes,Hetergametic_Sequenced,Sexual.system,Sex_Chromosome_System_Karyotype,Genotypic,Environmental_SD,Assembled_PAR,Neo_Sex_Chr,Notes,FurtherInvestigation,Tried_KmerApproach,Validated_KmerApproach,PututativeSexChrs_IDed_KmerApproach,NotValidated_Kmer_Reason,DotPlots,Kmer.Notes,Mirror.Plot.comments,Tried_HalfDeep,Validated_HalfDeep,HalfDeep_Super_Sca_.50.,assemblyLevel,collection_date,geo_loc_name,sequencingTech,genomeCoverage,totalNumberOfChromosomes
Fishes,Actinopterygii (Ray-finned Fishes),Cichliformes,Cichlidae,Archocentrus centrarchus,flier cichlid,63155,,fArcCen1,No,M,GCA_007364275.2,GCF_007364275.1,,"CLR, FALCON unzip","932,930,362",926,,VGP,,XY,Y,gonochorous,XY,male heterogametic,No,,,https://onlinelibrary.wiley.com/doi/full/10.1111/mec.16466,,,,,,,,,Y,,no halfdeep,Chromosome,3/9/16,Nicaragua,PacBio Sequel I; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C,76,24
Fishes,Actinopterygii (Ray-finned Fishes),Labriformes sensu stricto,Labridae,Notolabrus celidotus,New Zealand spotty wrasse,1203425,4,fNotCel1,No,M,GCA_009762535.1,GCF_009762535.1,,"CLR I, FALCON unzip","846,744,125","1,600",,VGP,,None,NA,hermaphrodite,None,NA,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,5/24/18,New Zealand: Tauranga,PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,71.06,24
Fishes,Actinopterygii (Ray-finned Fishes),Scorpaeniformes (Cyclopteridae),Cyclopteridae,Cyclopterus lumpus,lumpfish,8103,4,fCycLum1,No,M,GCA_009769545.1,GCF_009769545.1,GCA_963457625.1,"CLR I, FALCON unzip","572,885,595",395,,VGP,,XY,Y,gonochorous,XY,male heterogametic,No,,,"https://pubmed.ncbi.nlm.nih.gov/34859595/#:~:text=The%20chromosome%2Dlevel%20assembly%20identified,lumpfish%20conservation%20management%20and%20aquaculture.",,,,,,,,,Y,,no halfdeep,Chromosome,11/29/18,Canada: Atlantic Ocean,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,55.96,25
Fishes,Actinopterygii (Ray-finned Fishes),Pleuronectiformes,Pleuronectidae,Hippoglossus hippoglossus,Atlantic halibut,8267,4,fHipHip1,No,M,GCA_009819705.1,GCF_009819705.1,,"CLR I, FALCON unzip","596,792,615",347,,VGP,,XY,Y,gonochorous,XY,male heterogametic,No,,,https://pubmed.ncbi.nlm.nih.gov/35134055/,,,,,,,,,Y,,no halfdeep,Chromosome,,Canada: Atlantic Ocean,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,56.23,24
Fishes,Actinopterygii (Ray-finned Fishes),Gobiiformes,Gobiidae,Periophthalmus magnuspinnatus,Korean giant-fin mudskipper,409849,4,fPerMag1,No,F,GCA_009829125.3,GCF_009829125.3,,"CLR I, FALCON unzip","752,621,858",822,,VGP,,UN,UN,gonochorous,UN,UN,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,10/16/18,"South Korea: Yellow Sea; JF4H+5P Ganghwa-gun, Incheon",PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,69.53,24
Fishes,Actinopterygii (Ray-finned Fishes),Esociformes,Esocidae,Esox lucius,Northern pike,8010,4,fEsoLuc1,No,UN,GCA_011004845.1,GCF_011004845.1,,"CLR II, FALCON unzip","918,748,614",165,,VGP,,XY or XX,UN,gonochorous,XY,male heterogametic,No,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008013,,,,,,,,,Y,,no halfdeep,Chromosome,11/29/18,"Czech Republic: Jihlava River, Danube basin",PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,1,25
Fishes,Actinopterygii (Ray-finned Fishes),Anguilliformes,Anguillidae,Anguilla anguilla,European eel,7936,4,fAngAng1,No,UN,GCA_013347855.1,GCF_013347855.1,,"CLR, FALCON unzip","979,045,926",693,,VGP,,ZW or ZZ,UN,gonochorous,ZW,female heterogametic,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,11/29/18,Czech Republic: Elbe River,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,51.23,19
Fishes,Actinopterygii (Ray-finned Fishes),Elopiformes,Megalopidae,Megalops cyprinoides,Indo-pacific tarpon,118141,4,fMegCyp1,No,UN,GCA_013368585.1,GCF_013368585.1,,"CLR I, FALCON unzip","959,258,046",270,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,8/24/18,Singapore,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,104.34,25
Fishes,Actinopterygii (Ray-finned Fishes),Characiformes,Serrasalmidae,Pygocentrus nattereri,red-bellied piranha,42514,4,fPygNat1,No,M,GCA_015220715.1,GCF_015220715.1,,"CLR I, FALCON unzip","1,222,050,449",358,,VGP,,UN,UN,gonochorous,UN,UN,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,11/21/18,"Netherlands: Dejong Marinelife, Rotterdam",PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,77.77,30
Fishes,Actinopterygii (Ray-finned Fishes),Scorpaeniformes,Sebastidae,Sebastes umbrosus,honeycomb rockfish,72105,4,fSebUmb1,No,M,GCA_015220745.1,GCF_015220745.1,,"CLR I, FALCON unzip","800,904,020",353,,VGP,,UN,UN,gonochorous,UN,UN,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8277470/,,,,,,,,,Y,,no halfdeep,Chromosome,10/5/17,USA: California coast,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,45.05,24
